[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract","block group"],
["1956","178","81302","125469","36.4","1102","105","11","001","004002","2"],
["1759","118","60698","55385","28.8","1532","80","11","001","005600","1"],
["640","70","72450","148472","43.5","313","31","11","001","001600","2"],
["1388","217","78867","218125","48.9","529","82","11","001","002600","2"],
["647","65","69704","97917","33.6","391","37","11","001","004002","1"],
["1364","123","63636","200758","39.9","436","41","11","001","001600","1"],
["1962","145","70736","166149","52.1","630","56","11","001","001600","4"],
["733","70","73071","179306","44.0","295","29","11","001","001600","3"],
["1917","140","81513","115000","50.7","1185","65","11","001","005600","2"],
["1220","83","59133","96310","36.2","616","40","11","001","004600","1"],
["1643","130","64690","99740","31.0","815","65","11","001","004600","2"],
["1878","72","80521","79427","31.7","1558","54","11","001","005201","1"],
["1432","51","103095","130735","31.9","978","34","11","001","005201","2"],
["3089","92","13020","21733","30.9","1193","40","11","001","007703","3"],
["2682","281","60582","101553","28.5","1576","153","11","001","005900","1"],
["798","31","21232","-666666666","37.1","362","17","11","001","007703","1"],
["1744","54","14722","32372","25.3","652","23","11","001","007703","2"],
["2685","153","16114","31196","27.2","1137","77","11","001","007707","1"],
["1799","137","27154","67713","36.2","655","59","11","001","007707","2"],
["1603","170","78051","148750","35.0","726","71","11","001","008100","2"],
["901","94","81995","133594","34.5","391","43","11","001","008100","1"],
["782","91","84959","154500","39.7","451","46","11","001","008100","3"],
["2047","227","76985","107200","28.2","1048","95","11","001","008200","2"],
["1009","86","80280","143375","38.3","501","45","11","001","008200","1"],
["1533","227","59643","141563","32.4","639","102","11","001","008410","1"],
["1065","75","30076","51439","33.1","503","35","11","001","008804","1"],
["1496","109","27427","37262","36.7","887","65","11","001","008804","2"],
["1924","207","28658","74375","33.9","622","87","11","001","009507","1"],
["1542","89","68411","77083","33.3","1061","64","11","001","004201","1"],
["2080","122","114690","164205","34.1","996","59","11","001","004400","2"],
["3613","455","16831","83750","21.7","532","65","11","001","003500","2"],
["2182","126","108801","177721","31.2","1111","67","11","001","004201","2"],
["3305","190","107334","168199","35.2","1907","111","11","001","004400","1"],
["1413","140","86986","148750","36.5","634","66","11","001","006700","3"],
["2036","207","80995","134911","40.9","1128","105","11","001","006600","1"],
["1379","129","72797","121304","39.1","582","59","11","001","006700","1"],
["1583","143","82288","147656","36.8","710","69","11","001","006700","2"],
["1967","67","23152","29904","38.6","1103","41","11","001","007603","1"],
["1890","109","21812","23114","39.0","1010","67","11","001","007502","2"],
["3632","281","11348","21728","29.7","1288","89","11","001","007408","1"],
["3424","186","13207","30849","29.9","1031","60","11","001","007502","1"],
["769","44","37186","111285","43.4","229","16","11","001","007603","3"],
["1084","37","38852","50625","53.0","642","23","11","001","007603","4"],
["1971","261","39637","80588","36.0","924","126","11","001","007903","1"],
["997","70","24109","57875","35.3","527","43","11","001","008904","2"],
["2683","153","21057","31541","36.7","1429","88","11","001","008904","1"],
["1122","87","21553","47407","34.9","440","38","11","001","009903","1"],
["1454","96","38254","50868","32.5","740","39","11","001","003600","2"],
["2148","110","35046","48707","29.6","1117","55","11","001","003700","2"],
["1570","140","31449","30172","28.7","557","37","11","001","003400","1"],
["1816","86","70045","156353","29.7","722","37","11","001","003600","3"],
["1950","77","47155","77377","31.8","994","49","11","001","003700","3"],
["1034","45","61347","-666666666","34.9","602","28","11","001","003800","3"],
["898","47","90285","134207","36.8","614","32","11","001","003900","4"],
["1217","75","71549","94335","34.3","761","41","11","001","003900","3"],
["587","68","82725","87132","33.4","481","52","11","001","004002","3"],
["632","70","107782","103646","37.0","397","37","11","001","004100","2"],
["1310","136","83793","103160","32.3","1015","93","11","001","004202","2"],
["2725","231","55364","109601","32.0","1281","115","11","001","004801","1"],
["803","67","60903","76016","34.0","559","52","11","001","010100","2"],
["2058","166","79565","96045","35.8","1411","113","11","001","010100","1"],
["1176","65","83024","82407","32.4","937","51","11","001","005301","4"],
["1482","95","74753","77344","34.2","1220","71","11","001","005301","3"],
["845","94","44657","71025","23.9","493","49","11","001","010700","1"],
["866","98","70980","78594","30.9","730","80","11","001","010700","2"],
["1749","144","40615","96551","25.1","786","33","11","001","005600","3"],
["1017","77","32537","54375","24.8","540","34","11","001","005600","4"],
["1289","128","27968","49625","50.0","616","74","11","001","009604","1"],
["1796","190","88092","125938","38.7","1205","114","11","001","005800","2"],
["1496","93","17759","27619","34.0","800","56","11","001","009602","1"],
["915","89","32455","66250","45.2","433","46","11","001","009604","2"],
["1126","69","15350","29643","25.8","479","30","11","001","009803","1"],
["1452","141","84461","115132","39.5","922","86","11","001","000502","2"],
["1844","179","100708","146382","35.7","887","92","11","001","000502","1"],
["295","17","8276","-666666666","16.0","198",null,"11","001","007404","3"],
["1228","70","6425","12649","22.6","516","37","11","001","007406","2"],
["2026","111","13694","48313","21.3","610","39","11","001","007406","1"],
["2106","143","49931","41167","32.5","1049","75","11","001","007407","2"],
["1445","69","12342","33042","21.6","531","31","11","001","007409","3"],
["639","68","26526","31500","37.4","346","42","11","001","007503","1"],
["2906","190","21056","17077","27.2","1333","85","11","001","007504","1"],
["463","30","65269","49817","52.5","408","15","11","001","007603","2"],
["1294","100","40817","87889","45.9","578","50","11","001","007604","2"],
["701","62","36186","82500","49.5","288","29","11","001","007605","1"],
["918","52","10174","13125","31.3","361","25","11","001","007605","3"],
["2337","147","23191","34857","39.3","1210","85","11","001","007605","2"],
["528","17","43391","-666666666","36.1","276",null,"11","001","007703","4"],
["1203","91","66472","140054","34.8","585","45","11","001","008402","1"],
["1173","54","69487","89318","36.7","601","28","11","001","000701","4"],
["1949","84","94291","113028","64.3","1306","59","11","001","000701","3"],
["2052","71","104299","146958","33.3","1204","44","11","001","005201","4"],
["901","36","72439","82408","34.6","753","27","11","001","005201","3"],
["2231","143","126460","187287","51.3","973","61","11","001","000801","3"],
["1979","189","80775","89412","34.4","969","90","11","001","000802","1"],
["4381","527","42234","247222","19.6","428","39","11","001","000901","3"],
["1405","224","95597","186607","43.9","503","81","11","001","000902","2"],
["1179","164","161544","216875","43.0","401","55","11","001","000902","1"],
["1019","52","74432","188462","45.1","348","19","11","001","001001","5"],
["1585","109","32613","48750","51.6","902","71","11","001","009000","2"],
["957","66","86795","236250","45.2","327","22","11","001","001001","3"],
["1401","69","21271","50078","37.2","473","29","11","001","007809","2"],
["2245","213","72291","118333","35.1","1034","98","11","001","008002","2"],
["800","49","73175","206080","48.4","281","18","11","001","001500","2"],
["2120","125","19405","47683","32.1","914","61","11","001","007809","1"],
["939","73","37493","70000","29.6","323","27","11","001","010300","1"],
["1386","98","38385","86389","45.9","462","45","11","001","010300","3"],
["1190","90","35989","-666666666","42.3","524","46","11","001","010300","2"],
["1188","103","47706","60509","42.4","522","46","11","001","001803","1"],
["2988","194","20310","49276","33.7","1181","86","11","001","001803","2"],
["1110","66","44400","34896","47.2","625","30","11","001","001804","1"],
["1457","127","36444","88459","37.4","521","47","11","001","001901","3"],
["640","69","41870","100750","42.6","290","30","11","001","001901","4"],
["1006","75","44668","-666666666","44.0","451","36","11","001","001901","1"],
["962","78","36088","72031","36.4","378","34","11","001","001901","2"],
["1666","195","41815","102188","44.0","492","73","11","001","001902","1"],
["1257","149","62709","132917","55.0","454","63","11","001","002001","2"],
["986","88","72836","150208","37.4","367","36","11","001","002002","1"],
["811","58","72301","136250","37.9","434","26","11","001","001002","3"],
["1306","96","91395","168375","49.0","701","39","11","001","001100","2"],
["1579","86","99344","116083","33.9","978","52","11","001","001301","3"],
["859","45","111204","250001","43.2","332","18","11","001","001301","2"],
["624","17","103900","-666666666","38.8","516",null,"11","001","001302","3"],
["2162","199","95388","94962","36.3","1072","97","11","001","001401","1"],
["1172","139","101396","240972","43.5","413","44","11","001","001401","2"],
["1268","112","83257","100069","43.3","668","61","11","001","001402","3"],
["1533","112","65135","97593","34.4","976","81","11","001","010200","2"],
["1212","125","62373","117031","42.3","574","62","11","001","010200","1"],
["1335","84","66892","92402","33.0","752","48","11","001","000300","2"],
["476","23","29976","31676","32.1","270",null,"11","001","011000","1"],
