[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract"],
["4701","250","110593","122455","43.4","2921","160","11","001","000100"],
["3598","247","8189","119722","19.4","80","6","11","001","000201"],
["4080","310","68981","119688","27.6","1811","147","11","001","000202"],
["5168","298","64619","91804","33.2","2745","156","11","001","000300"],
["1379","108","121093","176494","41.4","692","57","11","001","000400"],
["3126","210","74375","92109","33.1","1980","130","11","001","000501"],
["3129","250","99444","94598","41.7","1750","145","11","001","000502"],
["5420","341","81028","110000","49.6","2111","138","11","001","000600"],
["4284","249","99808","77019","52.2","3335","190","11","001","000701"],
["2899","157","44182","56875","30.5","2124","120","11","001","000702"],
["6605","357","81262","114098","42.6","3494","198","11","001","000801"],
["2786","226","85740","109698","41","1412","116","11","001","000802"],
["7651","556","66514","209931","19.9","1661","140","11","001","000901"],
["2278","195","96253","162548","40.5","898","78","11","001","000902"],
["7977","464","57099","136121","36.5","2751","178","11","001","001001"],
["3109","166","58894","84310","33.3","2196","115","11","001","001002"],
["4315","360","88827","154340","41.8","1979","162","11","001","001100"],
["4886","284","75019","110625","36.4","2430","155","11","001","001200"],
["4369","255","74341","101366","38.5","2043","121","11","001","001301"],
["6264","410","74290","79223","38.1","5001","312","11","001","001302"],
["3401","279","72844","103529","40.2","1490","127","11","001","001401"],
["3091","251","75575","88194","50.2","1437","112","11","001","001402"],
["6169","372","79892","180536","45.3","2270","150","11","001","001500"],
["4293","291","64230","137434","48.5","1752","132","11","001","001600"],
["2830","152","39169","60227","39.8","1301","77","11","001","001701"],
["2360","178","46493","86979","38.1","1139","91","11","001","001702"],
["431",null,"18053",null,"23.5","0",null,"11","001","001801"],
["2991","179","31333","38821","43.6","1665","102","11","001","001803"],
["4344","245","22068","35168","37.2","1958","123","11","001","001804"],
["5128","297","24294","52031","35.8","1653","115","11","001","001901"],
["2383","143","28286","63191","45.3","887","63","11","001","001902"],
["2720","149","44196","38682","46.4","1164","73","11","001","002001"],
["3967","236","39087","73500","41.7","1456","96","11","001","002002"],
["5084","344","21856","44792","34.7","2121","149","11","001","002101"],
["4482","262","27594","48875","44.3","2272","128","11","001","002102"],
["3305","189","27047","68382","36.8","1192","74","11","001","002201"],
["3222","181","22114","40253","37.8","1463","93","11","001","002202"],
["2907","190","31379","74700","39.5","1172","88","11","001","002301"],
["2013","97","28835","73826","54.9","565","38","11","001","002302"],
["3724","225","28097","55486","48.2","1364","96","11","001","002400"],
["2272","142","33322","51750","42.6","1030","72","11","001","002501"],
["5124","264","24796","43971","35","2031","127","11","001","002502"],
["2348","178","72857","140938","48.5","1037","81","11","001","002600"],
["5416","278","40658","57985","34.2","2790","148","11","001","002701"],
["5834","304","49349","95488","34.6","2492","139","11","001","002702"],
["3555","183","26798","41458","34.8","1622","99","11","001","002801"],
["4163","227","23285","39424","32","1904","122","11","001","002802"],
["4077","264","27680","52857","31.5","1647","124","11","001","002900"],
["2779","185","33451","43167","31.1","1345","86","11","001","003000"],
["2680","172","26366","53007","32.1","1051","72","11","001","003100"],
["4509","269","25833","48011","34.5","1795","116","11","001","003200"],
["3052","198","47682","80873","34.9","1390","92","11","001","003301"],
