[["B01003_001E","B01003_001M","B00001_001E","B19301_001E","B19301_001M","B19013_001E","B19013_001M","B01002_001E","B01002_001M","B25001_001E","B25001_001M","B00002_001E","state","county","tract"],
["5040","604","272","112491","17540","134712","31202","39.4","3.1","2824","125","155","11","001","000100"],
["4074","535","423","1952","804","-666666666","-222222222","19.5","0.2","0","13","0","11","001","000201"],
["4976","591","441","73144","12169","141603","20984","27.1","2.5","2034","83","156","11","001","000202"],
["5399","559","314","65553","7441","105500","27494","32.4","2.4","2826","61","158","11","001","000300"],
["1514","143","165","122309","22911","195938","73545","43.9","3.2","694","20","78","11","001","000400"],
["3231","313","209","68129","12001","80900","15573","30.0","1.4","2132","106","118","11","001","000501"],
["3076","211","284","99595","13631","108182","23772","39.3","3.5","1798","61","158","11","001","000502"],
["4472","450","340","97039","11784","120045","13869","47.0","3.7","2276","76","144","11","001","000600"],
["4478","350","246","79091","9679","82379","9172","44.3","4.9","3291","53","181","11","001","000701"],
["3184","256","165","52999","4805","64113","3200","30.7","2.1","2434","60","125","11","001","000702"],
["7064","687","431","96953","18153","120313","9152","42.0","4.1","3621","85","200","11","001","000801"],
["2552","250","217","88271","12671","115230","25179","40.7","3.8","1437","38","117","11","001","000802"],
["7495","821","702","65363","11709","221771","33469","20.2","0.5","1615","90","141","11","001","000901"],
["2302","221","263","99771","17488","184583","34930","42.6","0.9","899","27","103","11","001","000902"],
["7996","420","525","70624","8301","161450","12052","38.2","2.6","2829","78","170","11","001","001001"],
["3144","435","175","63441","9800","91455","15004","32.5","2.5","2298","58","114","11","001","001002"],
["4272","324","312","83132","12334","121250","16339","47.5","2.6","2108","68","146","11","001","001100"],
["5164","353","303","73532","7438","108125","16043","36.9","4.6","2533","111","155","11","001","001200"],
["4199","382","252","88239","15796","83594","21634","33.9","4.2","2098","103","115","11","001","001301"],
["7635","525","381","73339","6012","84758","13121","35.2","2.3","5561","94","280","11","001","001302"],
["3469","271","327","77711","9868","124500","41087","39.0","2.5","1484","29","134","11","001","001401"],
["2974","254","280","94284","16414","94444","20599","45.0","4.2","1449","86","128","11","001","001402"],
["6066","353","422","81336","8351","193233","23180","46.7","1.4","2195","82","143","11","001","001500"],
["4287","285","343","70325","9599","130786","22444","49.5","1.9","1726","44","153","11","001","001600"],
["2767","311","227","56035","12466","98981","18456","38.0","3.4","1270","59","110","11","001","001702"],
["3316","341","241","32093","6809","42206","9123","39.1","2.9","1707","40","128","11","001","001803"],
["5220","526","299","20798","2751","38597","7352","35.2","2.3","2066","90","131","11","001","001804"],
["3832","537","275","31564","4461","64279","17005","43.2","6.2","1647","27","124","11","001","001901"],
["2194","225","215","34473","5922","66976","25378","42.8","5.3","883","31","92","11","001","001902"],
["2427","262","231","44687","6565","47862","6012","41.6","3.2","1020","68","93","11","001","002001"],
["3688","360","258","35679","4202","57821","6250","44.2","4.8","1485","47","101","11","001","002002"],
["5562","680","367","25033","2771","55705","10772","36.3","3.0","2228","57","152","11","001","002101"],
["4816","554","336","28554","3683","45385","8215","36.5","4.2","2221","80","159","11","001","002102"],
["3665","339","238","26436","3657","66071","10918","35.2","6.7","1194","42","94","11","001","002201"],
["3492","360","234","25255","4934","42661","9084","34.1","4.4","1504","41","102","11","001","002202"],
["2838","307","248","33976","4859","65729","24631","39.6","4.8","1155","47","111","11","001","002301"],
["1647","273","146","33512","6654","60898","15594","44.7","15.1","1068","70","65","11","001","002302"],
["3670","450","296","37523","8707","63646","24064","37.4","2.8","1362","64","111","11","001","002400"],
["2319","415","174","29324","6484","27143","12043","37.6","6.7","1045","47","75","11","001","002501"],
["5011","606","279","26349","3976","41824","7345","35.3","1.7","2347","90","132","11","001","002502"],
["2426","258","262","64325","11108","108472","30115","47.1","7.0","1027","26","108","11","001","002600"],
["4849","526","276","44668","5639","52833","12296","32.5","2.2","2861","95","142","11","001","002701"],
["5172","566","322","55332","8085","91961","11157","32.7","1.3","2445","129","144","11","001","002702"],
["4037","559","265","25862","3889","47037","5848","31.1","3.6","1810","58","122","11","001","002801"],
["4740","498","327","28287","3382","47721","10198","29.8","1.2","2078","86","164","11","001","002802"],
["4641","563","351","34885","4253","64493","10041","30.4","1.2","1784","56","148","11","001","002900"],
["3505","374","291","37346","5254","63438","12425","30.0","2.1","1553","68","134","11","001","003000"],
["3368","459","219","26610","5033","61750","12671","29.1","4.0","1097","84","85","11","001","003100"],
["4880","502","331","31996","3893","68750","11708","34.8","3.1","1838","81","136","11","001","003200"],
["3033","402","202","52502","7839","88674","12640","34.4","4.6","1539","51","107","11","001","003301"],
["2052","238","217","49399","6228","107159","28006","35.9","2.1","974","57","103","11","001","003302"],
["4950","456","425","21027","3627","53398","14457","21.0","1.1","1376","81","91","11","001","003400"],
["3728","620","287","23610","3786","64183","17172","23.6","2.5","1159","45","108","11","001","003500"],
["4301","523","249","42630","7524","60284","13010","33.6","2.8","2201","94","121","11","001","003600"],
["4964","679","262","34574","5051","55479","10249","29.2","2.7","2501","126","121","11","001","003700"],
["4689","437","245","59227","6080","89853","9156","33.5","1.5","2819","132","148","11","001","003800"],
["4368","412","225","57420","5203","76563","8594","34.0","2.2","2937","82","149","11","001","003900"],
["3533","331","211","83540","8342","106227","10151","38.4","1.8","2429","96","136","11","001","004001"],
["2408","234","244","79338","8455","89868","9528","34.6","1.9","1805","100","168","11","001","004002"],
["2735","260","237","104440","18550","107734","20725","44.2","3.1","1744","37","142","11","001","004100"],
["3559","353","217","72199","10111","87237","15472","31.1","1.3","2170","78","140","11","001","004201"],
["2545","198","233","86405","9603","82594","11698","32.0","1.0","1854","97","154","11","001","004202"],
["2952","258","168","61847","7942","75625","11372","38.2","3.3","2062","97","118","11","001","004300"],
["5327","389","274","63048","7099","105635","11309","32.4","1.8","2606","124","143","11","001","004400"],
["2666","382","174","41542","6415","74643","24227","32.2","3.1","1374","74","93","11","001","004600"],
["3158","647","154","31591","8264","26122","15616","28.7","2.9","2111","99","92","11","001","004701"],
["1766","212","156","55266","9992","72607","16071","32.4","3.2","1120","65","83","11","001","004702"],
["2018","243","153","52249","8092","84875","21754","39.5","1.8","1202","60","90","11","001","004801"],
["3081","319","178","45101","11625","61417","37371","32.7","3.6","1500","95","98","11","001","004802"],
["2359","286","201","39258","6900","54010","18348","30.0","3.2","1083","53","88","11","001","004901"],
["2709","266","214","65041","6485","94375","17880","29.9","1.9","1587","72","123","11","001","004902"],
["1868","267","133","81245","23641","127828","5113","31.8","5.3","977","66","67","11","001","005001"],
["6111","648","261","57357","9900","76175","12113","34.8","2.5","3716","114","172","11","001","005002"],
["5340","420","286","90563","12435","78438","15202","34.5","1.3","4477","97","221","11","001","005201"],
["5349","483","306","78125","8880","92771","13146","33.0","2.1","3767","126","210","11","001","005301"],
