[["B01003_001E","B01003_001M","B00001_001E","B19301_001E","B19301_001M","B19013_001E","B19013_001M","B01002_001E","B01002_001M","B25001_001E","B25001_001M","B00002_001E","state","county","tract"],
["4802","631","266","126651","19502","136842","25451","41.1","3.8","2845","148","153","11","001","000100"],
["4216","764","415","1671","529","-666666666","-222222222","19.5","0.2","0","95","0","11","001","000201"],
["4819","617","417","72898","12174","135893","24431","27.1","2.0","2022","75","154","11","001","000202"],
["5386","588","311","65799","9355","99063","20378","32.3","2.6","2881","70","159","11","001","000300"],
["1433","185","137","95042","16056","182578","72799","43.0","4.4","689","22","67","11","001","000400"],
["3431","300","216","66261","13047","89191","9588","29.7","1.4","2094","80","123","11","001","000501"],
["3260","200","274","96429","12510","104375","20401","39.7","2.9","1810","66","150","11","001","000502"],
["4580","629","366","93174","15117","113922","17880","47.0","3.7","2192","81","145","11","001","000600"],
["4481","364","250","84280","15374","81039","7196","44.3","4.3","3295","73","183","11","001","000701"],
["3426","314","170","57059","5250","66352","8722","31.0","3.3","2506","82","127","11","001","000702"],
["6763","451","427","92174","15168","118569","14494","44.0","3.7","3592","96","202","11","001","000801"],
["2575","228","226","80551","12178","92384","25038","38.7","4.8","1463","59","115","11","001","000802"],
["7460","749","698","62142","9507","219583","26494","20.2","0.7","1613","63","140","11","001","000901"],
["2178","248","223","95645","18504","179167","24248","42.6","3.0","890","21","87","11","001","000902"],
["7712","458","512","68061","7608","147500","12366","39.6","2.3","2822","57","174","11","001","001001"],
["3003","432","158","63310","11378","89119","20346","34.2","2.8","2344","63","109","11","001","001002"],
["4410","402","328","80302","11624","128909","30221","42.8","5.6","2025","72","149","11","001","001100"],
["5093","360","286","71788","7761","109405","19581","36.8","3.5","2518","88","151","11","001","001200"],
["4220","408","261","80272","15693","79098","22574","35.8","3.0","2136","81","119","11","001","001301"],
["7080","450","408","74790","6300","78140","8612","35.3","2.3","5559","80","301","11","001","001302"],
["3326","316","297","77173","9731","126576","39142","39.7","2.7","1476","34","127","11","001","001401"],
["2837","261","277","88544","13964","87826","19799","46.6","3.7","1449","97","124","11","001","001402"],
["5933","301","430","84222","9174","179859","22628","46.7","1.0","2161","97","149","11","001","001500"],
["4432","327","330","64814","8278","135403","19676","48.6","2.4","1776","39","145","11","001","001600"],
["2783","335","203","49831","8654","106154","15114","38.8","4.2","1232","53","100","11","001","001702"],
["3106","349","224","28771","4283","38000","7273","39.8","3.0","1735","39","123","11","001","001803"],
["4645","522","275","22569","3397","38007","8203","37.2","2.2","2106","92","126","11","001","001804"],
["4056","523","263","29585","4608","53750","18522","43.3","5.2","1660","31","117","11","001","001901"],
["2122","185","178","32418","5979","64196","32833","44.2","6.2","876","32","77","11","001","001902"],
["2507","293","192","41367","7273","47878","6527","38.9","4.8","1068","67","83","11","001","002001"],
["3673","389","233","42235","7378","56808","14969","44.3","2.8","1466","65","93","11","001","002002"],
["5157","682","362","22343","2747","43769","5597","36.0","2.9","2196","95","153","11","001","002101"],
["5064","479","296","25144","3362","45046","9456","33.2","3.3","2275","67","140","11","001","002102"],
["3733","314","215","25520","3476","60882","11627","36.5","4.2","1220","45","84","11","001","002201"],
["3101","330","186","27798","4195","44096","8366","39.7","5.1","1476","64","94","11","001","002202"],
["3059","373","238","28256","4395","54167","28260","37.8","4.0","1169","44","101","11","001","002301"],
["1564","314","135","31763","7252","54022","20090","46.1","22.3","902","73","54","11","001","002302"],
["3578","450","270","33006","5743","63342","16443","36.9","3.1","1367","81","105","11","001","002400"],
["2367","392","157","29466","6168","32067","23684","40.0","6.4","1054","39","72","11","001","002501"],
["5018","718","282","26549","3560","42604","9922","35.1","2.1","2356","81","136","11","001","002502"],
["2344","227","217","71851","11612","126944","32293","47.1","5.6","1029","24","94","11","001","002600"],
["5070","503","286","44664","4869","58659","13306","33.0","1.7","2884","107","145","11","001","002701"],
["5198","523","316","55296","7361","99524","17392","33.3","2.0","2455","147","141","11","001","002702"],
["3930","541","214","24614","3640","46393","5159","29.6","1.9","1809","61","106","11","001","002801"],
["4238","466","296","30432","3705","45625","10853","30.9","1.9","2151","77","156","11","001","002802"],
["4408","505","294","32520","4523","60861","6895","30.4","1.2","1787","57","133","11","001","002900"],
["3346","350","268","37663","5443","60459","10274","30.0","2.0","1511","74","118","11","001","003000"],
