[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract"],
["4999","274","111008","146161","38.2","2784","152","11","001","000100"],
["3909","419","1657","-666666666","19.5","0","0","11","001","000201"],
["4866","455","76943","149375","28.0","1990","157","11","001","000202"],
["5909","324","65815","111289","31.9","2750","154","11","001","000300"],
["1507","193","122647","233250","47.3","688","88","11","001","000400"],
["3357","196","78464","95556","30.9","2072","110","11","001","000501"],
["3030","301","91069","115216","40.1","1784","171","11","001","000502"],
["4479","336","100756","125921","45.2","2307","139","11","001","000600"],
["4915","279","68820","70515","42.2","3757","204","11","001","000701"],
["3286","178","53597","70033","29.8","2474","133","11","001","000702"],
["6517","384","100863","119641","45.0","3045","164","11","001","000801"],
["2653","227","89291","113523","39.0","1412","117","11","001","000802"],
["7560","761","66438","201250","20.5","1642","150","11","001","000901"],
["2134","289","101291","185500","43.0","887","115","11","001","000902"],
["8074","521","66743","156786","38.1","2834","166","11","001","001001"],
["3299","177","52421","84063","30.9","2162","108","11","001","001002"],
["4343","289","86904","129118","47.3","2134","134","11","001","001100"],
["4985","293","75483","105262","39.3","2493","152","11","001","001200"],
["4160","247","89792","109567","35.3","2096","115","11","001","001301"],
["7696","354","76547","83583","34.1","5526","249","11","001","001302"],
["3345","326","79338","120417","40.5","1476","136","11","001","001401"],
["2914","278","93935","105568","44.4","1487","134","11","001","001402"],
["6159","444","82253","204333","45.4","2162","147","11","001","001500"],
["4200","364","66667","140688","49.9","1713","155","11","001","001600"],
["2947","251","52209","98657","40.7","1352","115","11","001","001702"],
["3656","276","33824","44335","38.1","1702","133","11","001","001803"],
["5507","341","23438","42476","35.2","2209","145","11","001","001804"],
["3935","288","31964","78662","41.2","1665","135","11","001","001901"],
["2170","236","35800","74625","42.6","859","106","11","001","001902"],
["2548","264","38226","49006","36.9","1016","106","11","001","002001"],
["3698","274","39166","59840","44.6","1482","104","11","001","002002"],
["5752","325","24701","45987","36.3","2303","139","11","001","002101"],
["4901","327","31695","50142","35.2","2249","164","11","001","002102"],
["3668","248","27125","68170","34.2","1177","98","11","001","002201"],
["3595","232","28425","41875","34.2","1490","101","11","001","002202"],
["2868","263","34288","66509","38.6","1163","114","11","001","002301"],
["1808","149","34318","60263","36.0","1093","68","11","001","002302"],
["3914","329","37765","65227","37.6","1430","119","11","001","002400"],
["2516","186","33658","30694","36.1","1069","80","11","001","002501"],
["5509","296","32061","54018","35.4","2490","135","11","001","002502"],
["2395","306","64982","126597","47.5","1031","125","11","001","002600"],
["4600","268","50723","65633","34.5","2862","141","11","001","002701"],
["5847","332","54219","100000","32.8","2409","139","11","001","002702"],
["4210","276","26194","49232","32.3","1864","127","11","001","002801"],
["4877","337","29199","46421","30.1","2148","174","11","001","002802"],
["4746","360","40034","82120","30.9","1797","155","11","001","002900"],
["3737","303","38679","63309","28.6","1565","140","11","001","003000"],
["3280","215","30180","63750","28.8","1175","87","11","001","003100"],
["4734","347","32718","67988","36.2","1926","143","11","001","003200"],
["3325","225","52010","93903","32.0","1581","114","11","001","003301"],
["2202","245","45559","87393","35.0","1008","114","11","001","003302"],
["5012","425","25464","70263","22.0","1406","91","11","001","003400"],
["4489","379","21953","66830","22.9","1238","125","11","001","003500"],
["4469","241","45687","75505","33.2","2257","116","11","001","003600"],
["5551","279","35488","58663","28.3","2556","126","11","001","003700"],
["5028","245","62587","93461","33.2","2859","146","11","001","003800"],
["4666","240","57067","80750","34.4","2909","151","11","001","003900"],
["3427","205","89412","102757","38.7","2357","135","11","001","004001"],
["2675","258","74104","89675","34.2","1870","174","11","001","004002"],
["2698","236","101465","114602","44.1","1750","148","11","001","004100"],
["3734","228","68590","89851","30.9","2139","142","11","001","004201"],
["2789","264","82369","90707","31.6","1863","162","11","001","004202"],
["3287","198","56615","71021","36.4","2087","133","11","001","004300"],
["5496","277","70264","119638","32.7","2663","143","11","001","004400"],
["2797","182","46429","80985","34.1","1387","96","11","001","004600"],
["3582","173","29899","24962","29.4","2169","98","11","001","004701"],
["2211","211","54572","81875","32.7","1175","114","11","001","004702"],
["2148","164","51406","86629","38.7","1183","89","11","001","004801"],
["3220","214","46635","61875","32.0","1676","120","11","001","004802"],
["2403","254","38054","52824","31.3","1111","114","11","001","004901"],
["2652","223","64270","93203","32.7","1549","129","11","001","004902"],
["2044","179","87586","130173","32.0","998","91","11","001","005001"],
["5567","259","70480","81316","35.1","3740","175","11","001","005002"],
["5835","270","88646","92255","31.4","4478","204","11","001","005201"],
["5202","301","78426","83393","31.9","3741","213","11","001","005301"],
["6321","317","91824","96793","32.2","4857","198","11","001","005500"],
["6123","400","71703","70793","28.5","4287","204","11","001","005600"],
["2664","255","106020","118194","35.4","2149","189","11","001","005800"],
