[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract"],
["4784","260","109518","109947","42.0","2872","159","11","001","000100"],
["4227","310","2596","-666666666","19.4","0","0","11","001","000201"],
["4553","326","76526","120114","27.8","2009","142","11","001","000202"],
["5664","321","64259","101250","30.3","2933","160","11","001","000300"],
["1296","103","102247","158580","40.7","673","56","11","001","000400"],
["3388","215","64416","87415","30.5","2120","131","11","001","000501"],
["3241","269","94550","95694","39.5","1785","147","11","001","000502"],
["4777","349","89389","115648","48.2","2169","143","11","001","000600"],
["4585","251","90234","79649","49.3","3395","191","11","001","000701"],
["3106","155","50863","63794","30.3","2429","124","11","001","000702"],
["6286","365","82345","114732","43.1","3457","199","11","001","000801"],
["2595","229","77035","92000","41.1","1454","116","11","001","000802"],
["7789","601","63301","213889","19.8","1627","138","11","001","000901"],
["2228","199","94213","163750","41.6","907","77","11","001","000902"],
["8039","493","60550","142697","36.4","2776","179","11","001","001001"],
["3343","166","57309","85543","32.8","2410","111","11","001","001002"],
["4247","326","82107","141607","42.0","1997","151","11","001","001100"],
["5002","272","70629","93785","35.0","2531","149","11","001","001200"],
["4410","263","75391","88981","37.0","2145","122","11","001","001301"],
["7012","431","72996","78961","34.4","5459","325","11","001","001302"],
["3149","273","82826","109609","39.6","1486","124","11","001","001401"],
["2958","262","80824","100750","46.7","1436","114","11","001","001402"],
["5692","400","85089","179125","46.4","2155","148","11","001","001500"],
["4448","301","61298","133824","47.4","1772","133","11","001","001600"],
["2465","161","48059","91989","38.3","1214","90","11","001","001702"],
["2965","209","29784","35350","44.0","1716","115","11","001","001803"],
["4809","278","22387","40281","37.1","2094","130","11","001","001804"],
["4197","263","27077","48073","42.6","1684","114","11","001","001901"],
["2121","155","30755","72273","46.5","893","67","11","001","001902"],
["2668","143","42555","43478","39.4","1096","65","11","001","002001"],
["3604","218","39535","53373","43.9","1502","91","11","001","002002"],
["4735","343","21511","41886","36.2","2173","149","11","001","002101"],
["4331","269","26633","42522","39.2","2300","134","11","001","002102"],
["3510","203","26212","70541","36.1","1204","80","11","001","002201"],
["2930","175","26406","42283","41.1","1500","94","11","001","002202"],
["2998","202","29152","61500","40.7","1219","86","11","001","002301"],
["1945","114","28167","43342","55.8","792","42","11","001","002302"],
["3771","240","30463","60082","39.6","1371","96","11","001","002400"],
["2295","145","31502","48750","41.4","1052","73","11","001","002501"],
["4872","292","25685","42199","34.6","2243","138","11","001","002502"],
["2276","180","76203","144141","48.6","1031","80","11","001","002600"],
["5414","289","40594","58617","32.2","2927","151","11","001","002701"],
["5103","299","52943","95490","34.0","2470","136","11","001","002702"],
["3867","194","26531","43661","30.3","1748","99","11","001","002801"],
["3999","242","28440","41453","31.0","2128","135","11","001","002802"],
["3885","266","30215","56000","30.8","1767","130","11","001","002900"],
["3029","230","37512","52228","30.8","1474","108","11","001","003000"],
["2878","182","28653","69063","31.3","1084","75","11","001","003100"],
["4473","277","27095","50665","34.1","1897","118","11","001","003200"],
["2827","190","50787","83285","36.3","1476","95","11","001","003301"],
["2198","159","39235","80039","33.6","1020","79","11","001","003302"],
["4832","310","15241","30603","20.3","1327","87","11","001","003400"],
["2518","170","22218","41136","29.1","1104","76","11","001","003500"],
["4273","253","32763","46034","34.9","2079","136","11","001","003600"],
["5119","261","25781","52292","27.7","2470","125","11","001","003700"],
["4074","219","57552","76121","35.1","2769","145","11","001","003800"],
["4476","218","55793","72466","34.8","3017","154","11","001","003900"],
["3250","201","80332","100439","37.8","2392","134","11","001","004001"],
["2319","210","79703","85368","33.8","1814","146","11","001","004002"],
["2708","225","92552","97500","42.7","1762","133","11","001","004100"],
["3536","206","72058","86406","31.3","2254","140","11","001","004201"],
["2354","200","88592","83588","33.5","1778","143","11","001","004202"],
["2864","157","52319","51016","35.6","2059","109","11","001","004300"],
["4478","238","62333","98030","33.2","2350","139","11","001","004400"],
["2383","161","42504","76623","35.6","1348","93","11","001","004600"],
["3841","148","18141","15119","23.8","1894","81","11","001","004701"],
["1616","81","29412","43476","36.9","881","36","11","001","004702"],
["1760","122","44894","76618","39.3","1067","77","11","001","004801"],
["3061","160","37993","42244","34.3","1430","88","11","001","004802"],
["1948","106","36180","52375","33.0","1031","56","11","001","004901"],
["2625","192","53429","78482","29.9","1543","110","11","001","004902"],
["1576","102","98188","119643","37.5","943","55","11","001","005001"],
["5820","288","58170","73173","34.4","3843","196","11","001","005002"],
["5203","319","80405","64811","34.5","4460","253","11","001","005201"],
