[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract"],
["4802","266","126651","136842","41.1","2845","153","11","001","000100"],
["4216","415","1671","-666666666","19.5","0","0","11","001","000201"],
["4819","417","72898","135893","27.1","2022","154","11","001","000202"],
["5386","311","65799","99063","32.3","2881","159","11","001","000300"],
["1433","137","95042","182578","43.0","689","67","11","001","000400"],
["3431","216","66261","89191","29.7","2094","123","11","001","000501"],
["3260","274","96429","104375","39.7","1810","150","11","001","000502"],
["4580","366","93174","113922","47.0","2192","145","11","001","000600"],
["4481","250","84280","81039","44.3","3295","183","11","001","000701"],
["3426","170","57059","66352","31.0","2506","127","11","001","000702"],
["6763","427","92174","118569","44.0","3592","202","11","001","000801"],
["2575","226","80551","92384","38.7","1463","115","11","001","000802"],
["7460","698","62142","219583","20.2","1613","140","11","001","000901"],
["2178","223","95645","179167","42.6","890","87","11","001","000902"],
["7712","512","68061","147500","39.6","2822","174","11","001","001001"],
["3003","158","63310","89119","34.2","2344","109","11","001","001002"],
["4410","328","80302","128909","42.8","2025","149","11","001","001100"],
["5093","286","71788","109405","36.8","2518","151","11","001","001200"],
["4220","261","80272","79098","35.8","2136","119","11","001","001301"],
["7080","408","74790","78140","35.3","5559","301","11","001","001302"],
["3326","297","77173","126576","39.7","1476","127","11","001","001401"],
["2837","277","88544","87826","46.6","1449","124","11","001","001402"],
["5933","430","84222","179859","46.7","2161","149","11","001","001500"],
["4432","330","64814","135403","48.6","1776","145","11","001","001600"],
["2783","203","49831","106154","38.8","1232","100","11","001","001702"],
["3106","224","28771","38000","39.8","1735","123","11","001","001803"],
["4645","275","22569","38007","37.2","2106","126","11","001","001804"],
["4056","263","29585","53750","43.3","1660","117","11","001","001901"],
["2122","178","32418","64196","44.2","876","77","11","001","001902"],
["2507","192","41367","47878","38.9","1068","83","11","001","002001"],
["3673","233","42235","56808","44.3","1466","93","11","001","002002"],
["5157","362","22343","43769","36.0","2196","153","11","001","002101"],
["5064","296","25144","45046","33.2","2275","140","11","001","002102"],
["3733","215","25520","60882","36.5","1220","84","11","001","002201"],
["3101","186","27798","44096","39.7","1476","94","11","001","002202"],
["3059","238","28256","54167","37.8","1169","101","11","001","002301"],
["1564","135","31763","54022","46.1","902","54","11","001","002302"],
["3578","270","33006","63342","36.9","1367","105","11","001","002400"],
["2367","157","29466","32067","40.0","1054","72","11","001","002501"],
["5018","282","26549","42604","35.1","2356","136","11","001","002502"],
["2344","217","71851","126944","47.1","1029","94","11","001","002600"],
["5070","286","44664","58659","33.0","2884","145","11","001","002701"],
["5198","316","55296","99524","33.3","2455","141","11","001","002702"],
["3930","214","24614","46393","29.6","1809","106","11","001","002801"],
["4238","296","30432","45625","30.9","2151","156","11","001","002802"],
["4408","294","32520","60861","30.4","1787","133","11","001","002900"],
["3346","268","37663","60459","30.0","1511","118","11","001","003000"],
["2758","195","33614","74637","32.5","1099","82","11","001","003100"],
["4550","296","30528","62361","35.6","1884","125","11","001","003200"],
["2840","202","55375","86101","36.0","1490","100","11","001","003301"],
["2352","212","42603","97216","33.3","1009","96","11","001","003302"],
["5526","414","17800","46365","20.8","1343","85","11","001","003400"],
["3441","185","22567","63510","23.6","1142","83","11","001","003500"],
["4204","253","39697","47656","33.9","2181","128","11","001","003600"],
["5068","258","31194","60324","29.0","2566","123","11","001","003700"],
["4391","235","56479","79120","33.7","2830","146","11","001","003800"],
["4584","227","57900","76107","34.5","2973","150","11","001","003900"],
["3301","207","79199","98425","37.8","2340","133","11","001","004001"],
["2338","222","77874","89189","34.8","1824","155","11","001","004002"],
["2767","232","100415","105341","43.1","1753","134","11","001","004100"],
["3430","216","79543","89353","31.3","2197","140","11","001","004201"],
["2451","223","85660","81326","32.5","1878","151","11","001","004202"],
["2851","151","52426","64959","36.3","2007","104","11","001","004300"],
["5114","250","61141","101853","34.0","2544","136","11","001","004400"],
["2536","162","39621","78257","35.2","1369","90","11","001","004600"],
["2959","148","33443","19572","29.9","1981","86","11","001","004701"],
["1470","96","46659","70490","38.1","979","45","11","001","004702"],
["1784","136","52513","82866","39.4","1119","85","11","001","004801"],
["3029","181","41196","57943","35.2","1424","95","11","001","004802"],
["2314","138","35697","50948","31.1","1098","63","11","001","004901"],
["2849","215","59162","89267","29.8","1586","121","11","001","004902"],
["1829","97","95705","135313","35.7","999","50","11","001","005001"],
["6054","264","61379","81744","34.2","3786","174","11","001","005002"],
["5501","313","87789","72340","33.4","4472","239","11","001","005201"],
["5107","287","77179","93006","32.9","3726","204","11","001","005301"],
["6424","368","85501","94489","33.0","4671","236","11","001","005500"],
["5504","313","64989","64028","28.6","4203","197","11","001","005600"],
["2784","244","101639","120329","34.3","2169","178","11","001","005800"],
["3663","346","39186","83911","31.9","1648","133","11","001","005900"],
["0","0","-666666666","-666666666","-666666666.0","0","0","11","001","006202"],
["1710","100","18912","20965","39.7","1105","70","11","001","006400"],
["2508","212","74754","127963","33.2","1519","123","11","001","006500"],
["1851","176","94922","123170","32.9","1175","97","11","001","006600"],
["4094","339","78555","145313","37.7","1998","167","11","001","006700"],
["2035","188","40823","83618","36.4","995","92","11","001","006801"],
["2332","190","41804","99500","34.7","1004","87","11","001","006802"],
["2511","324","4522","-666666666","33.0","27","1","11","001","006804"],
["2343","167","73510","118500","36.5","1170","86","11","001","006900"],
["2572","239","67555","102054","32.2","1256","97","11","001","007000"],
["3103","211","30895","39861","31.2","1362","96","11","001","007100"],
["1863","135","48635","80313","31.3","1275","94","11","001","007200"],
["2842","301","22877","66990","23.2","993","77","11","001","007301"],
["3528","243","19334","32000","35.7","1388","94","11","001","007304"],
["2124","151","11387","16000","28.4","1031","72","11","001","007401"],
["3442","182","15467","31647","25.2","1274","72","11","001","007403"],
["3315","210","15243","26681","24.0","1517","94","11","001","007404"],
["3123","196","11730","27333","22.3","1140","71","11","001","007406"],
["2728","166","22425","36332","29.8","1226","83","11","001","007407"],
["3012","219","11881","19175","25.3","1258","85","11","001","007408"],
["3840","217","14555","25369","25.1","1586","98","11","001","007409"],
