[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract"],
["5209","293","127012","175048","36.8","2965","153","11","001","000100"],
["3685",null,"3481","-666666666","19.7","3",null,"11","001","000201"],
["4817","465","71335","153705","24.9","1969","174","11","001","000202"],
["6095","314","70302","125078","32.4","2685","150","11","001","000300"],
["1578","242","140834","178750","45.9","719","107","11","001","000400"],
["3502","200","88510","107448","34.3","2124","112","11","001","000501"],
["2973","324","91455","114152","36.9","1783","182","11","001","000502"],
["4722","299","107737","158625","45.2","2374","135","11","001","000600"],
["5245","279","76755","80223","48.1","3720","192","11","001","000701"],
["3316","185","56371","72346","29.2","2440","132","11","001","000702"],
["6575","423","100641","121265","41.1","3025","165","11","001","000801"],
["3153","265","74359","91307","35.3","1451","127","11","001","000802"],
["7790","831","73914","231542","20.7","1633","160","11","001","000901"],
["2455","378","115128","200893","42.5","899","140","11","001","000902"],
["7894","505","67807","153992","41.6","2849","170","11","001","001001"],
["3497","198","57766","82847","29.7","2176","113","11","001","001002"],
["4817","311","93196","149265","42.8","2260","138","11","001","001100"],
["4908","287","79949","106667","38.5","2618","148","11","001","001200"],
["4016","218","99100","128395","35.5","2074","113","11","001","001301"],
["7591","278","81118","98143","35.6","5270","186","11","001","001302"],
["3369","356","87803","112700","39.3","1512","150","11","001","001401"],
["3328","299","86446","118693","41.2","1546","141","11","001","001402"],
["6350","425","76960","200031","45.3","2170","138","11","001","001500"],
["4175","406","78098","143194","50.1","1716","169","11","001","001600"],
["3083","265","55369","92543","42.0","1367","119","11","001","001702"],
["4042","299","32879","52411","34.7","1654","134","11","001","001803"],
["5619","291","24401","46283","34.6","2241","124","11","001","001804"],
["3997","347","33830","74344","37.8","1667","151","11","001","001901"],
["2337","284","38637","88291","41.2","866","123","11","001","001902"],
["2848","340","44172","63385","42.5","1072","142","11","001","002001"],
["3911","330","41128","80703","42.0","1479","121","11","001","002002"],
["5859","237","28023","57565","37.5","2338","109","11","001","002101"],
["4921","363","38372","65387","40.5","2287","175","11","001","002102"],
["3704","256","35506","65638","35.7","1207","98","11","001","002201"],
["3974","275","26286","48274","32.5","1473","112","11","001","002202"],
["3220","289","40953","97500","39.1","1196","122","11","001","002301"],
["1711","173","39218","59630","43.5","1105","89","11","001","002302"],
["4257","368","40973","96667","36.1","1477","134","11","001","002400"],
["2648","237","39069","35370","39.2","1066","90","11","001","002501"],
["5852","252","40849","64616","34.3","2540","126","11","001","002502"],
["2573","370","73498","135164","46.1","1046","153","11","001","002600"],
["5428","292","45567","56630","32.6","2879","148","11","001","002701"],
["6300","331","50010","87043","32.7","2445","140","11","001","002702"],
["4033","317","25562","48641","30.8","1869","144","11","001","002801"],
["4750","327","31109","49338","30.8","2130","162","11","001","002802"],
["4567","416","44561","92900","30.9","1712","165","11","001","002900"],
["3534","285","39046","70238","28.9","1563","144","11","001","003000"],
["3350","234","37455","81356","33.4","1312","104","11","001","003100"],
["4997","357","34817","80848","33.5","1906","141","11","001","003200"],
["3619","288","61529","105132","31.2","1614","138","11","001","003301"],
["2338","318","53102","112500","32.5","1009","146","11","001","003302"],
["4716","483","26110","80500","22.3","1444","100","11","001","003400"],
["5603","612","21255","69190","23.0","1231","146","11","001","003500"],
["5036","252","51870","91250","32.2","2272","111","11","001","003600"],
["5860","283","40260","73232","29.9","2712","139","11","001","003700"],
["4969","249","62218","92885","33.9","2835","144","11","001","003800"],
["4492","264","63716","89662","32.5","2908","157","11","001","003900"],
["4120","220","83083","104775","34.6","2377","136","11","001","004001"],
["2998","304","71065","90886","34.7","1925","195","11","001","004002"],
["2759","274","102304","123456","42.9","1710","161","11","001","004100"],
["3625","225","79766","96650","31.8","2117","138","11","001","004201"],
["2635","289","90910","102308","31.8","1891","177","11","001","004202"],
["3720","237","59883","80000","34.9","2127","147","11","001","004300"],
["5702","327","84904","148766","32.7","2733","163","11","001","004400"],
["2947","208","45979","64235","31.9","1407","109","11","001","004600"],
["4478","173","34229","24767","30.1","2472","104","11","001","004701"],
["2558","374","72154","94688","32.9","1457","202","11","001","004702"],
["2223","205","53431","103273","37.3","1212","109","11","001","004801"],
["3548","266","47257","63015","32.5","1813","145","11","001","004802"],
["2600","342","42893","67104","32.2","1190","158","11","001","004901"],
["2842","231","58332","81591","32.2","1537","140","11","001","004902"],
["2116","238","85672","133686","35.2","1001","124","11","001","005001"],
["6051","290","64399","81128","35.3","3790","190","11","001","005002"],
["6224","217","91032","102420","31.5","4473","156","11","001","005201"],
["4999","298","80263","89097","31.7","3668","211","11","001","005301"],
["6632","250","92668","97558","33.2","4885","154","11","001","005500"],
["6964","486","65433","71250","28.1","4221","203","11","001","005600"],
["2781","301","99832","124306","39.9","2259","214","11","001","005800"],
["2882","289","57361","99330","28.5","1624","150","11","001","005900"],
["117",null,"58019","-666666666","24.8","54",null,"11","001","006202"],
["2130","191","20124","22969","33.4","1210","115","11","001","006400"],
["2583","254","76326","128750","32.3","1491","144","11","001","006500"],
["1904","209","92827","143485","39.2","1112","109","11","001","006600"],
["4213","386","84221","136797","39.1","1928","185","11","001","006700"],
["2017","284","47228","75742","35.9","966","152","11","001","006801"],
["2342","348","54623","113250","36.5","1055","161","11","001","006802"],
["2949",null,"4691","-666666666","35.0","4",null,"11","001","006804"],
["2181","217","71766","108571","41.2","1251","112","11","001","006900"],
["2794","276","66547","112096","31.5","1255","116","11","001","007000"],
["3064","222","42733","72904","32.4","1392","113","11","001","007100"],
["4584","407","63970","106897","30.7","2436","239","11","001","007200"],
["4002","410","28639","75625","23.0","1273","116","11","001","007301"],
["3514","277","17347","29542","34.3","1430","114","11","001","007304"],
["2453","265","9501","15205","27.4","1085","123","11","001","007401"],
["3500","194","13191","31399","25.5","1183","77","11","001","007403"],
["3795","180","16071","28569","22.9","1444","83","11","001","007404"],
["3061","178","13077","37344","25.3","1134","80","11","001","007406"],
["2734","204","21111","34531","32.4","1380","105","11","001","007407"],
["3548","328","11340","22353","29.8","1304","105","11","001","007408"],
["3802","224","16408","33990","27.9","1640","113","11","001","007409"],
["5361","308","18210","26422","31.2","2007","130","11","001","007502"],
["2694","290","14185","26125","24.8","1083","136","11","001","007503"],
