[["B01003_001E","B01003_001M","B00001_001E","B19301_001E","B19301_001M","B19013_001E","B19013_001M","B01002_001E","B01002_001M","B25001_001E","B25001_001M","B00002_001E","state","county","tract","block group"],
["1357","242","81","95980","24672","106071","15396","32.3","3.6","1048","130","58","11","001","000501","2"],
["1637","188","176","98653","14839","136094","15465","39.1","2.8","808","87","82","11","001","000502","1"],
["1470","215","141","77485","11547","103750","23558","35.9","6.0","943","87","92","11","001","000502","2"],
["1095","292","66","117605","27051","156107","29167","39.6","9.9","712","93","41","11","001","000600","1"],
["1043","190","59","95889","26630","114821","73745","40.8","17.4","558","102","30","11","001","000600","2"],
["764","160","59","130404","37014","159167","99039","39.5","7.6","373","69","25","11","001","000600","3"],
["1635","315","130","87086","15950","156168","66828","47.7","6.5","727","87","45","11","001","000600","4"],
["1115","240","71","60360","21266","63015","9889","33.1","2.8","787","146","44","11","001","000701","1"],
["1654","406","74","64221","12012","68782","16277","40.2","6.0","1213","183","54","11","001","000701","2"],
["1589","284","89","99623","21382","109435","25078","64.6","3.5","1180","166","66","11","001","000701","3"],
["878","255","52","60699","17462","53056","57376","36.5","6.0","621","120","34","11","001","000701","4"],
["1309","290","84","53903","9607","81750","15846","30.0","5.3","844","143","53","11","001","000702","1"],
["907","204","45","39523","8215","50918","5365","34.2","8.6","817","152","38","11","001","000702","2"],
["1168","305","50","64349","7824","101409","17936","28.7","2.2","836","158","38","11","001","000702","3"],
["2066","348","111","72450","12233","95395","28867","41.4","10.0","1337","148","72","11","001","000801","1"],
["847","212","55","186439","78749","250001","-333333333","47.8","13.8","324","90","20","11","001","000801","2"],
["2731","539","145","130440","35846","236629","53504","46.7","7.7","1047","128","59","11","001","000801","3"],
["1094","339","119","44899","19512","102171","65219","27.9","14.0","331","108","18","11","001","000801","4"],
["1704","259","149","86717","18716","70833","35643","38.1","8.5","942","76","81","11","001","000802","1"],
["1373","323","104","61954","18748","140833","68206","33.7","7.6","505","69","41","11","001","000802","2"],
["1503","239","149","97785","23865","168750","36458","44.4","4.4","591","68","54","11","001","000901","1"],
["1639","292","145","162665","39864","250001","-333333333","51.7","5.6","617","72","57","11","001","000901","2"],
["4629","651","505","33389","7972","250001","-333333333","19.8","0.3","427","68","43","11","001","000901","3"],
["821","216","114","99314","33290","187250","46741","42.8","5.9","340","52","46","11","001","000902","1"],
["1513","199","224","96244","19157","191652","33158","42.1","2.4","555","49","81","11","001","000902","2"],
["894","305","52","48858","11762","137431","37663","37.3","11.1","271","63","17","11","001","001001","1"],
["2106","308","128","63061","10213","123839","31826","44.2","5.8","981","137","58","11","001","001001","2"],
["1000","242","66","87288","17799","250001","-333333333","44.2","6.6","365","67","24","11","001","001001","3"],
["1930","350","157","66821","19121","181359","43020","31.6","7.1","555","81","31","11","001","001001","4"],
["921","270","53","45623","11764","141071","41933","37.0","26.2","248","60","16","11","001","001001","5"],
["1185","264","70","75058","13079","187625","41466","51.5","4.7","418","64","26","11","001","001001","6"],
["1259","332","59","23997","10781","12245","37193","21.6","0.5","825","150","37","11","001","001002","1"],
["1444","336","84","68501","11850","114141","24602","33.0","6.2","936","133","53","11","001","001002","2"],
["813","280","44","65240","9743","118816","39527","37.0","22.5","432","113","21","11","001","001002","3"],
["1851","216","111","111478","29506","117083","11904","49.5","6.7","975","109","57","11","001","001100","1"],
["1361","264","99","78749","20041","134861","25667","54.4","8.3","733","105","41","11","001","001100","2"],
["682","204","45","84997","28194","163897","69404","33.9","10.3","265","66","18","11","001","001100","3"],
["549","147","43","77088","14360","114500","56641","40.1","5.3","264","55","18","11","001","001100","4"],
["2121","309","118","64593","9076","80912","7149","35.4","4.5","1111","137","65","11","001","001200","1"],
["1101","350","55","72099","17149","94167","13759","30.8","3.9","704","135","32","11","001","001200","2"],
["631","190","42","101379","44319","152132","72931","48.1","18.7","253","56","18","11","001","001200","3"],
["1027","220","67","93313","19176","152045","30482","50.2","9.9","530","100","33","11","001","001200","4"],
["1811","392","88","83096","23042","128421","24595","33.7","9.9","833","127","43","11","001","001301","1"],
["639","197","43","143685","39708","236136","60011","57.1","7.9","335","109","17","11","001","001301","2"],
["1708","329","103","77223","16610","86583","34845","32.1","2.5","888","132","52","11","001","001301","3"],
["2375","404","102","74339","15090","94297","16608","46.7","11.4","1577","186","69","11","001","001302","1"],
["4685","656","182","81369","11898","95938","21401","32.4","2.1","3325","273","127","11","001","001302","2"],
["736","300","37","67897","29913","85086","37848","30.4","8.8","594","181","23","11","001","001302","3"],
["2218","247","216","75144","12229","92159","19025","37.0","5.0","1092","51","103","11","001","001401","1"],
["1115","176","133","97283","16839","231429","53324","43.1","4.6","403","49","43","11","001","001401","2"],
["780","140","93","102738","20551","223500","123574","46.4","2.6","306","45","36","11","001","001402","1"],
["833","157","84","117303","26629","118214","113883","51.4","11.2","484","86","43","11","001","001402","2"],
["1479","293","124","69906","18698","93818","19259","39.2","8.0","749","106","63","11","001","001402","3"],
["1674","488","102","70799","11502","200742","37839","47.0","7.0","550","84","35","11","001","001500","1"],
["1014","254","61","74594","15670","201302","20668","41.6","8.0","311","61","21","11","001","001500","2"],
["793","227","90","83698","27494","182386","119631","65.6","15.6","299","86","17","11","001","001500","3"],
["1688","314","103","72896","16337","167778","38215","46.1","9.8","645","76","40","11","001","001500","4"],
["1047","207","81","101303","25064","241458","54807","41.3","1.8","336","55","25","11","001","001500","5"],
["1068","211","112","71386","12226","165938","59910","52.1","7.9","408","54","42","11","001","001600","1"],
["507","140","51","57144","11904","85329","30769","50.7","7.2","350","80","27","11","001","001600","2"],
["678","241","60","80115","26910","142500","70201","54.3","9.2","349","82","30","11","001","001600","3"],
["1871","401","159","70956","14988","144563","49054","46.1","5.3","608","76","60","11","001","001600","4"],
["1821","270","135","61327","11238","101486","17812","37.0","3.7","798","84","63","11","001","001702","1"],
["1154","208","109","45365","7450","77727","14925","48.2","4.7","534","82","48","11","001","001702","2"],
["1371","314","117","51630","13467","69091","17454","42.8","6.7","572","98","51","11","001","001803","1"],
["2559","398","175","24761","6369","45389","15154","33.7","5.4","1097","102","84","11","001","001803","2"],
["1232","431","77","32844","9664","45882","10399","47.2","13.6","634","130","40","11","001","001804","1"],
["1634","515","110","22235","4970","54625","34552","39.1","11.1","567","114","39","11","001","001804","2"],
["2710","546","151","25155","5030","46172","14924","33.2","3.2","1038","153","64","11","001","001804","3"],
["1112","349","74","27460","10385","75750","46129","30.8","10.0","471","85","36","11","001","001901","1"],
["1048","380","79","31180","9845","73382","22079","34.4","9.8","413","99","36","11","001","001901","2"],
["830","212","87","35514","7385","72798","27148","49.1","5.4","510","83","43","11","001","001901","3"],
["811","291","68","29053","8611","73542","23481","37.4","11.9","274","70","27","11","001","001901","4"],
["1566","224","189","35694","5857","98558","22397","40.7","6.1","534","62","73","11","001","001902","1"],
["679","134","86","48504","10396","88929","16629","49.8","8.6","336","64","44","11","001","001902","2"],
["1203","278","142","25645","4205","41944","6532","42.0","3.1","546","59","63","11","001","002001","1"],
["1437","247","157","55800","11593","128750","35075","43.2","9.6","489","57","58","11","001","002001","2"],
["1022","257","88","42929","11750","83068","44091","42.2","9.0","321","66","29","11","001","002002","1"],
["1535","471","105","26514","6639","34740","32591","39.0","9.8","686","97","42","11","001","002002","2"],
["1312","317","111","46410","8801","88750","24807","45.0","6.8","456","75","41","11","001","002002","3"],
["1327","353","72","30996","6852","38729","18361","36.8","10.9","670","140","35","11","001","002101","1"],
["975","422","48","27037","11411","56938","29758","38.9","6.3","480","155","24","11","001","002101","2"],
["1279","315","73","29571","5705","59958","15781","43.3","15.7","542","102","33","11","001","002101","3"],
["887","409","38","23277","9268","45917","13480","33.0","14.4","337","96","18","11","001","002101","4"],
["1245","565","51","18169","7886","34500","94364","30.7","17.7","280","104","14","11","001","002101","5"],
["1012","463","68","32166","14842","66667","16278","29.6","5.6","369","82","34","11","001","002102","1"],
["535","152","46","29978","7914","33614","8595","52.0","10.5","382","95","32","11","001","002102","2"],
["1232","361","68","37159","13981","74213","50459","39.9","16.2","498","108","29","11","001","002102","3"],
["802","299","58","26921","9151","40938","29439","38.8","12.2","364","95","27","11","001","002102","4"],
["757","277","52","32931","13874","42188","27125","37.4","16.2","329","103","23","11","001","002102","5"],
["630","302","47","32641","13048","41250","64723","35.5","5.3","321","106","23","11","001","002102","6"],
["1331","414","83","37650","12960","95870","29162","29.4","4.8","428","91","33","11","001","002201","1"],
["1667","436","113","28569","6893","69286","11513","38.4","5.2","482","75","41","11","001","002201","2"],
["738","309","59","23617","8002","42083","24774","45.2","10.0","289","80","25","11","001","002201","3"],
["1946","499","106","24887","8062","42468","11390","31.5","3.2","726","111","47","11","001","002202","1"],
["1090","375","65","25769","10231","55500","43230","32.5","4.4","375","92","29","11","001","002202","2"],
["929","282","82","33409","12250","73125","30572","33.8","12.8","380","87","31","11","001","002202","3"],
["1230","258","121","44228","9693","84063","35106","39.7","10.4","405","69","47","11","001","002301","1"],
["2031","351","166","32613","6030","61442","34414","39.9","6.7","782","80","73","11","001","002301","2"],
["1841","296","159","37797","7837","61458","12614","47.0","18.6","1193","109","79","11","001","002302","1"],
["628","192","64","43961","12633","56204","49146","39.9","7.3","334","74","30","11","001","002400","1"],
["1384","315","104","40722","20721","61944","36601","39.5","6.0","444","70","37","11","001","002400","2"],
["1135","428","77","39369","15069","104931","67144","30.5","8.2","331","68","24","11","001","002400","3"],
["1135","301","103","38490","7680","106477","30800","34.5","3.6","331","56","34","11","001","002400","4"],
["1236","337","76","17414","4988","19485","3679","37.1","10.1","535","79","37","11","001","002501","1"],
["1512","307","133","51165","12442","89805","32158","36.3","5.6","522","78","47","11","001","002501","2"],
["1118","341","54","57510","37357","41509","20540","36.4","2.4","554","125","31","11","001","002502","1"],
