[["B01003_001E","B00001_001E","B19301_001E","B19013_001E","B01002_001E","B25001_001E","B00002_001E","state","county","tract","block group"],
["1357","81","95980","106071","32.3","1048","58","11","001","000501","2"],
["1637","176","98653","136094","39.1","808","82","11","001","000502","1"],
["1470","141","77485","103750","35.9","943","92","11","001","000502","2"],
["1095","66","117605","156107","39.6","712","41","11","001","000600","1"],
["1043","59","95889","114821","40.8","558","30","11","001","000600","2"],
["764","59","130404","159167","39.5","373","25","11","001","000600","3"],
["1635","130","87086","156168","47.7","727","45","11","001","000600","4"],
["1115","71","60360","63015","33.1","787","44","11","001","000701","1"],
["1654","74","64221","68782","40.2","1213","54","11","001","000701","2"],
["1589","89","99623","109435","64.6","1180","66","11","001","000701","3"],
["878","52","60699","53056","36.5","621","34","11","001","000701","4"],
["1309","84","53903","81750","30.0","844","53","11","001","000702","1"],
["907","45","39523","50918","34.2","817","38","11","001","000702","2"],
["1168","50","64349","101409","28.7","836","38","11","001","000702","3"],
["2066","111","72450","95395","41.4","1337","72","11","001","000801","1"],
["847","55","186439","250001","47.8","324","20","11","001","000801","2"],
["2731","145","130440","236629","46.7","1047","59","11","001","000801","3"],
["1094","119","44899","102171","27.9","331","18","11","001","000801","4"],
["1704","149","86717","70833","38.1","942","81","11","001","000802","1"],
["1373","104","61954","140833","33.7","505","41","11","001","000802","2"],
["1503","149","97785","168750","44.4","591","54","11","001","000901","1"],
["1639","145","162665","250001","51.7","617","57","11","001","000901","2"],
["4629","505","33389","250001","19.8","427","43","11","001","000901","3"],
["821","114","99314","187250","42.8","340","46","11","001","000902","1"],
["1513","224","96244","191652","42.1","555","81","11","001","000902","2"],
["894","52","48858","137431","37.3","271","17","11","001","001001","1"],
["2106","128","63061","123839","44.2","981","58","11","001","001001","2"],
["1000","66","87288","250001","44.2","365","24","11","001","001001","3"],
["1930","157","66821","181359","31.6","555","31","11","001","001001","4"],
["921","53","45623","141071","37.0","248","16","11","001","001001","5"],
["1185","70","75058","187625","51.5","418","26","11","001","001001","6"],
["1259","59","23997","12245","21.6","825","37","11","001","001002","1"],
["1444","84","68501","114141","33.0","936","53","11","001","001002","2"],
["813","44","65240","118816","37.0","432","21","11","001","001002","3"],
["1851","111","111478","117083","49.5","975","57","11","001","001100","1"],
["1361","99","78749","134861","54.4","733","41","11","001","001100","2"],
["682","45","84997","163897","33.9","265","18","11","001","001100","3"],
["549","43","77088","114500","40.1","264","18","11","001","001100","4"],
["2121","118","64593","80912","35.4","1111","65","11","001","001200","1"],
["1101","55","72099","94167","30.8","704","32","11","001","001200","2"],
["631","42","101379","152132","48.1","253","18","11","001","001200","3"],
["1027","67","93313","152045","50.2","530","33","11","001","001200","4"],
["2375","102","74339","94297","46.7","1577","69","11","001","001302","1"],
["1811","88","83096","128421","33.7","833","43","11","001","001301","1"],
["639","43","143685","236136","57.1","335","17","11","001","001301","2"],
["1708","103","77223","86583","32.1","888","52","11","001","001301","3"],
["4685","182","81369","95938","32.4","3325","127","11","001","001302","2"],
["736","37","67897","85086","30.4","594","23","11","001","001302","3"],
["2218","216","75144","92159","37.0","1092","103","11","001","001401","1"],
["1115","133","97283","231429","43.1","403","43","11","001","001401","2"],
["780","93","102738","223500","46.4","306","36","11","001","001402","1"],
["833","84","117303","118214","51.4","484","43","11","001","001402","2"],
["1479","124","69906","93818","39.2","749","63","11","001","001402","3"],
["1674","102","70799","200742","47.0","550","35","11","001","001500","1"],
["1014","61","74594","201302","41.6","311","21","11","001","001500","2"],
["793","90","83698","182386","65.6","299","17","11","001","001500","3"],
["1688","103","72896","167778","46.1","645","40","11","001","001500","4"],
["1047","81","101303","241458","41.3","336","25","11","001","001500","5"],
["1068","112","71386","165938","52.1","408","42","11","001","001600","1"],
["507","51","57144","85329","50.7","350","27","11","001","001600","2"],
["678","60","80115","142500","54.3","349","30","11","001","001600","3"],
["1871","159","70956","144563","46.1","608","60","11","001","001600","4"],
